formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap
Sr5(AuO4)2,0.536,1.4133472956937774,1.4133472956937772,3.4814871283487667,3.3514999999999997
Hg3(BO3)2,0.5379999999999999,2.493707919134147,2.493707922227643,5.956098375117147,4.5103
Sr4PdO6,0.5399999999999999,2.0155693272092625,2.01556933123629,1.6427366953314093,3.5843000000000007
KCuO2,0.54,44.165251147090984,9.76808573407894,0.8714559907446021,3.838
RbAgO,0.54,136.9398199948348,136.9398199948348,1.453055477285529,3.7169
MoPbO4,0.544,0.8440454661279544,0.8424461922537818,2.4336926296274455,3.37
SrGePbO4,0.544,4.714922184546249,2.39323501569223,1.7808361575400016,5.2884
Na3BiO3,0.5450000000000002,11.295614055892578,11.295614055892578,11.295614055892578,4.9333
CsCuO2,0.548,2.9773959760618594,3.0210802224097733,2.480657540251203,3.765
AsAuO4,0.548,1.7972687678558765,5.634942123481247,2.4607814136652983,4.2709
NaBiO2,0.5519999999999999,0.6549290172360298,0.5817326587625979,1.798453758280485,1.8904999999999994
Hg2GeO4,0.552,2.3280227203786255,4.090701937525746,3.1588653877263235,2.1616999999999997
CsAgO,0.552,7.597659378797618,7.597659378797619,0.9998641771685791,3.4568000000000003
VCd2BiO6,0.552,1227.7937351731346,25.38298000111601,1.5239740457106614,3.6100999999999996
VBiO4,0.552,1.8030702695534362,1.8030702695534362,0.44089229172766414,3.6032
RbAgO2,0.556,17.41383616142549,11.143194000040998,1.089089277994413,3.5614999999999997
Mg(CuO2)2,0.5579999999999999,2.1152585006559876,11.806482491687538,4.826669395635083,1.2849
As2Pb3O8,0.558,2.7103883661144863,1.2113390357965999,50.81598819745263,4.9917
Ag2BiO3,0.5599999999999999,1.9825430533204786,1.0415153032192799,1.3754121492042968,0.8470000000000004
TiNb6Tl2O18,0.5619999999999999,10.211777424596852,10.211777441267234,14.537824346458564,3.7920000000000003
Ba4PdO6,0.564,1.689145349097275,1.6891453507193648,1.2241675192917507,3.0115000000000003
Na3AuO3,0.5640000000000001,2.985556177004424,2.985556177004424,24.594553867334653,4.5717
TiPbO3,0.5640000000000001,0.39650409614533455,0.39650409614533455,0.9230203031919797,2.3742000000000005
Cs2O,0.566,3.293067836293068,3.2930678347497455,3.4792141407488417,2.3871
BaBiBO4,0.5680000000000001,8.36632996579433,2.297041469740708,5.190230603320989,5.5231
BiBO3,0.572,1.1548580132067057,1.783055332473197,0.6741789041798613,4.583399999999999
Bi2O3,0.5720000000000001,1.3461074780024025,2.0299333850473067,0.9552892654644922,3.1369
Li3AuO3,0.5759999999999998,1.2157816706470244,1.2157816706470244,12.227356681870852,4.124
PbWO4,0.5760000000000002,0.6784140411147285,1.7117315709404597,0.7568990662407065,3.6692
Sb2PbO6,0.578,0.8491260817469081,0.8491260823828535,0.4572641453104789,3.5384
CsAgO2,0.58,4.40064352074693,5.154511555194375,1.4499642424307075,3.5287
KAgO2,0.58,15.841580763261863,6.143407879363118,1.0940955266565637,3.4392
Ba2Bi2O5,0.5800000000000001,1.6187760377901241,1.13536872062973,1.8521181666272097,3.0674999999999994
Ta6TiTl2O18,0.5800000000000002,10.604347243783723,10.604347262729668,6.705707875280902,4.5934
CsNb2BiO7,0.5820000000000001,99.17089036465825,4.1453746640738185,4.051270412714501,3.9603
NaCuO2,0.584,2.1877238295877692,4.626158169428656,1.1766498526715952,2.8653000000000004
BaCeO3,0.5840000000000001,2.6714442365136475,2.698157099404505,3.6862734689876295,4.2856
Zn2PtO4,0.588,0.7939612670767153,4.047723706355305,2.1758740593071852,2.3529000000000004
ZnO,0.588,1.5747848507803752,1.5747848492547962,2.4080578701794004,3.1484
As2PbO6,0.59,0.9103956015312406,0.9103956007547838,0.37038911925191315,3.9249000000000005
Cd2Sb2O7,0.59,3.034513004165513,3.034513004165513,3.034513004165513,2.3010000000000006
BaZnO2,0.592,2.8041154874497427,2.8041154860488087,3.3012893819156077,4.6575
RbLaO2,0.594,1.7701073444083593,1.7701073338896565,2.8813215692549505,5.665100000000001
Sr4Cu2O7,0.5940000000000001,9.382158595272207,0.9095432041297407,2.4186948817124447,1.9944
K2ZnO2,0.5960000000000001,10.833713685893686,2.8240350911252516,6.656910077312072,4.9140999999999995
Rb6CdO4,0.597,36.35749287849933,36.357492831508786,7.3721710051420875,3.6271
K6CdO4,0.6000000000000001,30.581810265176586,30.581810278641143,20.80536849866317,3.8983
Cs2CeO3,0.601,6.3411220577386755,10.793250521106614,2.311231099334183,4.789899999999999
HgO,0.602,1.4450605516313586,0.6566729138638838,3.612565693167055,2.2824
K2O,0.602,5.966768610619756,5.966768610619756,5.9667686106197575,4.2339
Hg(SbO3)2,0.6020000000000001,1.3405312647438747,1.3405312626586703,0.837339205025018,2.2003000000000004
SrBiO3,0.6020000000000001,0.7903875166288782,0.5862171074438145,7.039037734614002,0.8518999999999997
Rb2O,0.603,3.7850757870638043,3.7850757870638043,3.7850757870638043,3.7303
Ca(AgO2)2,0.604,3.494221260570299,3.4943643194674907,8.869103774632347,2.1579999999999995
LiCuO2,0.604,1.2750302882449631,2.2922477764796025,8.169174793308406,1.8389999999999995
BaO,0.604,1.0731620728570175,1.0731620728570175,1.073162072857018,3.8011999999999997
K2Zn3O4,0.604,5.627114759623698,1.8909532086930632,2.1382382672628952,4.1168
BiSbO4,0.6040000000000001,3.3877413105673626,4.126183482418126,2.2901222037091498,4.262
BiO2,0.6059999999999999,2.641671952839509,3.96609683902203,0.9511783912802686,2.0599000000000003
Rb2Zn3O4,0.6079999999999999,3.0383802505037387,2.079266982555115,2.3135151139005075,4.1502
Cs3YO3,0.608,8.13639350743343,7.413377282956169,13.754897595583431,4.7884
Hg(AsO3)2,0.608,1.286284484772267,1.2862844877515647,0.7051594765515309,2.6295
Cs3ScO3,0.6080000000000001,7.06445826415432,5.446675074692153,10.17567435044694,5.2548
Ba2BiSbO6,0.6080000000000001,1.9381251815269442,0.5496017335560016,1.1082876250443086,2.9361
Ba2ZnGe2O7,0.6080000000000001,4.341556898874959,4.34155689887496,2.989913971090718,5.9972
Na2Zn2O3,0.6080000000000001,2.394087893651126,2.3940878936511263,2.4097662205943173,3.9982
K3AuO,0.609,2.943628946499434,2.943628946499434,2.943628946499434,1.6006
KLiZn3O4,0.61,3.99627346836304,1.4473019944034797,2.452460833510822,4.3629999999999995
RbLiZn2O3,0.6100000000000001,2.6751220263643267,2.6751220263643267,4.46657474466893,4.7463
Cs3AuO,0.612,11.835140362602555,11.835140341961859,20.931256526352513,2.8615
Na2BiO3,0.6120000000000001,10.819807453623971,6.973196651262232,8.083578427355482,2.7013000000000003
B4PbO7,0.6120000000000001,1.233506687909002,1.7030168522851126,1.996290443171763,6.3854
Ba2ZnO3,0.6120000000000001,1.0183069143556966,29.826370606186014,12.263513377968396,4.947
K2Cd2O3,0.614,1.5535330087046877,0.9800742088398263,2.328465692987353,2.0759
Sr2CeO4,0.6159999999999999,5.078597305067715,5.667948432242015,7.452151768138508,4.666399999999999
Sr(BiO2)2,0.616,6.047334541578395,1.8751181783093014,13.157502785956016,3.8442000000000003
Cs2HgO2,0.616,1.4823904520985431,1.482390452098543,1.8831505318667798,4.5877
Na2ZnO2,0.6160000000000001,2.6312786034583193,3.5102957785755637,2.3505734334334485,4.3217
CdBiO3,0.6160000000000001,3.203829255117132,3.2038292423217225,3.238946453259225,1.5419999999999998
Ta2Cd2O7,0.6160000000000001,1.732552138237552,1.732552138237552,1.732552138237552,3.621
BaHgO2,0.618,2.2605289079434483,2.2605289143377734,1.0369859869751914,4.7979
Cs3TlO3,0.6200000000000001,33.985806790484965,8.890199552696705,8.292691229998498,3.8259999999999996
TiBi2O5,0.6200000000000001,0.7356506662879738,4.334367068173789,3.8290706892731268,3.8950000000000005
BiAsO4,0.6200000000000003,7.906612638638227,3.4807960609469286,2.0068261757829227,4.956
KZn4(SbO4)3,0.6219999999999999,6.6764708982230285,6.676470898266352,9.273462284602491,4.2661999999999995
NaAgO2,0.622,2.6816947101630086,1.6480143628149222,11.970126732085166,2.2729999999999997
TlBi(WO4)2,0.6220000000000001,4.8762450945840135,0.7953194832267289,4.138256627315737,3.5336
Cs3InO3,0.624,11.74448383623771,11.843744792098471,20.252569364524657,4.5583
Ba2TaBiO6,0.624,0.4164133152097667,0.468514543182568,0.4081108426318562,3.6379000000000006
K2CdO2,0.6240000000000001,14.77349830377523,6.537014613876055,4.603451776303521,3.5434
Rb2CdO2,0.6240000000000001,19.237611763807497,7.99884459476346,4.235942061370226,3.5465999999999998
KLiZnO2,0.626,2.0841144609008704,1.9418070624467456,5.424353392251948,5.1558
Na2Zn(SiO3)2,0.6260000000000002,11.97563039612011,12.432481988370226,24.71875407236615,8.0628
KBi(WO4)2,0.6279999999999999,3.3908951507330074,0.6883387699434753,3.1313563098252963,3.8069999999999995
BaLa2O4,0.6279999999999999,1.4153677263244546,1.4153677263244546,1.4153677263244546,5.6265
KNaZnO2,0.628,3.3064313669175784,3.4924790520284534,4.246867004748592,4.7224
KLaO2,0.628,2.039676031227802,2.0396760275937047,8.97559487913616,6.1637
Rb2Cd2O3,0.63,1.194900915556449,2.0622654191841283,3.8206689179885926,2.1318
