formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
RbTlO2,0.678,1.3640611579768671,1.364061165341515,3.4912161862353437,2.3270999999999997,2.073112836517909
SrTiO3,0.758,2.573795043042439,2.573795043042439,1.093836025829978,3.0872999999999995,2.0804753706382852
LiCdBO3,0.721,1.8935895517722696,1.8935895497341253,2.4621549633168125,5.0889999999999995,2.083111354941069
Ba2MgMoO6,0.756,2.0903916385328514,2.0903916385328514,2.0903916385328514,3.438400000000001,2.0903916385328514
MgO,0.7470000000000001,2.097823279476968,2.097823279476968,2.0978232794769673,7.8986,2.097823279476968
Sr5(AuO4)2,0.536,1.4133472956937774,1.4133472956937772,3.4814871283487667,3.3514999999999997,2.1027272399121073
BeO,0.782,2.5413673257429745,2.5413673182239234,1.2539175155179978,11.0232,2.112217386494965
Ba3CaTa2O9,0.743,1.988559986712421,1.9885599834344816,2.3725240554429217,5.119400000000001,2.1165480085299415
Sr2TiO4,0.72,2.691034542116643,2.6910345421166424,1.0040563263197857,3.4760999999999997,2.128708470184357
LaAsO4,0.7300000000000001,1.3912545008197583,1.391254500819758,3.613945376689995,6.8296,2.1321514594431705
RbLaO2,0.594,1.7701073444083593,1.7701073338896565,2.8813215692549505,5.665100000000001,2.1405120825176556
Sr3Ti2O7,0.744,2.521466670894505,2.5214666708945055,1.390887706902268,3.2629,2.144607016230426
AlAgO2,0.288,2.298101163104155,2.2981011684631913,1.8518549247205192,2.9765000000000006,2.149352418762622
NaAg3O2,0.312,0.6419571456686873,5.117462099970265,0.7046082458457333,1.7442000000000002,2.154675830494895
Cu2PbO2,0.178,3.005556009411692,2.433288265196191,1.0254980699734637,1.3041999999999998,2.1547807815271156
LaSb5O12,0.504,1.4030473976633355,1.4030473942186528,3.684570769748315,4.976800000000001,2.163555187210101
Ba4Li(SbO4)3,0.74,2.1730060785952916,2.1730060785952916,2.1730060785952916,3.7193,2.1730060785952916
Y3SbO7,0.7420000000000002,0.8209536791817819,2.676920858955389,3.0300340709154945,5.2333,2.1759695363508884
Ba2HfO4,0.689,2.8116295768465034,2.8116295768465034,0.9160070812361728,5.4018,2.1797554116430597
CdWO4,0.696,1.215168148904167,3.5705808154080447,1.7598198427894909,4.5189,2.181856269033901
Ba3CaNb2O9,0.743,2.1275321910937417,2.1275321872310227,2.3829445650072363,4.4326,2.2126696477773335
InBO3,0.756,1.359391193223369,1.3593911944126351,3.943355110728117,5.5877,2.220712499454707
In6Ge2PtO9,0.24,2.2231958540181194,2.2231958540181194,2.2231958540181194,2.3949,2.2231958540181194
CsCdBO3,0.687,2.2300869624424937,2.2300869624424937,2.2300869624424937,4.7649,2.2300869624424937
Ca2Ti3O8,0.7559999999999999,2.1453795771865223,2.73053459994098,1.868029408614853,4.3349,2.2479811952474518
Al4Bi2O9,0.6320000000000001,0.7685165770511861,3.3473156507116704,2.6445262777761,4.447100000000001,2.2534528351796523
LiAgO,0.356,1.6484929632037968,1.6484929632037972,3.46927882106744,2.6024999999999996,2.255421582491678
KLi6TaO6,0.738,1.3820488738539745,1.3820488732597491,4.1138231442197055,7.2512,2.292640297111143
Sr3CdPtO6,0.4600000000000001,2.906347439798755,2.906347433606535,1.0664432410245142,4.0519,2.293046038143268
BaAl2Sb2O7,0.384,2.936358205002587,2.936358209515168,1.0249477052060805,5.3632,2.2992213732412785
CsSr2Ta3O10,0.737,2.1696871354797396,2.1696871354797396,2.5603701208778955,3.829699999999999,2.299914797279125
Li3BiO4,0.7320000000000001,2.030010927522921,2.528898967424832,2.353061752416882,3.3453999999999997,2.303990549121545
RbLa(MoO4)2,0.7360000000000002,2.456439848220051,2.456439848220051,2.0247768897892096,5.8047,2.3125521954097707
RbTa(BO3)2,0.7479999999999998,2.1248901834464564,3.516557774075902,1.307979286196412,6.206300000000001,2.316475747906257
