formula,O-2p
KNaLaTaO5,0.706
Sr2YSbO6,0.706
BaCa(GaO2)4,0.706
Ba2Ca(BO2)6,0.706
Na2GeO3,0.7060000000000001
Na3Ca2TaO6,0.7060000000000001
V2CdO6,0.7060000000000001
Ca3TaGa3(SiO7)2,0.7060000000000001
NaAlO2,0.7070000000000001
Na5NbO5,0.7079999999999999
Ba2SiO4,0.7079999999999999
LiYO2,0.7079999999999999
Na4SiO4,0.708
Na3SbO4,0.708
Sr2GeO4,0.7080000000000001
CaAlBO4,0.7080000000000001
NaSr3TaO6,0.7080000000000001
Na3BiO4,0.7080000000000001
NaSr3NbO6,0.7080000000000001
Li2Si2O5,0.7080000000000001
NaSr3BiO6,0.7080000000000002
Ba3Hf2O7,0.7080000000000002
BaSr2Mg(SiO4)2,0.7080000000000002
Ca2SnO4,0.7080000000000002
Sr4Ta2O9,0.7080000000000002
NaYO2,0.7080000000000002
Na5TaO5,0.7099999999999999
SrHfO3,0.71
Ba3Zr2O7,0.71
Sr3WO6,0.71
Cs2NaAsO4,0.71
Na5BiO5,0.71
SrZrO3,0.71
RbNaTiO3,0.71
Ba2SrWO6,0.71
SrGa2B2O7,0.7100000000000001
Sr4Nb2O9,0.7100000000000002
Li2GeO3,0.7109999999999999
LiAlO2,0.7119999999999999
Na6PbO5,0.7119999999999999
Sr2SiO4,0.712
CaIn2O4,0.712
Li4PbO4,0.712
Ba2LaSbO6,0.712
NaInO2,0.712
Y6WO12,0.712
Na2PbO3,0.7120000000000001
Li8SnO6,0.7120000000000001
Ba3Nb2ZnO9,0.7120000000000001
RbBO2,0.7120000000000001
Ba3Sn2O7,0.7120000000000002
NaIn(GeO3)2,0.7120000000000002
K2TiO3,0.714
Sr3TaGa3(SiO7)2,0.714
Na3VO4,0.714
K2LiVO4,0.714
Na2MgSiO4,0.714
Ba3SrTa2O9,0.7140000000000002
Ca2SiO4,0.7159999999999997
CrCdO4,0.7159999999999999
Rb2PbO3,0.716
Cs2Ti(GeO3)3,0.716
Li4TiO4,0.716
BaGa2B2O7,0.716
AlAsO4,0.716
Sr3LiTaO6,0.716
Na3AsO4,0.716
Ca2PbO4,0.716
Sr2CaMoO6,0.7160000000000001
NaSr3SbO6,0.7160000000000001
Sr2YNbO6,0.7160000000000002
Na2ZrO3,0.7160000000000002
CaMg(SiO3)2,0.7160000000000002
KLi2BO3,0.7160000000000002
Na2SiO3,0.7170000000000001
Sr3NbGa3(SiO7)2,0.7170000000000001
Li2HgO2,0.718
SrSnO3,0.718
CaSnO3,0.718
Ca3WO6,0.718
K2LiBO3,0.718
Ca2Sn3O8,0.718
Ba3(AsO4)2,0.7180000000000001
NaYGeO4,0.7180000000000001
K2ZrGe2O7,0.7180000000000002
Y2Be2SiO7,0.719
TiO2,0.7199999999999999
CsY(WO4)2,0.72
Sr2ScTaO6,0.72
Sr2TiO4,0.72
SrIn2O4,0.72
Sr2Zr7O16,0.72
Na2SnO3,0.7200000000000001
Sr2ScNbO6,0.7200000000000001
Mg2SnO4,0.7200000000000001
Sr3LiSbO6,0.7200000000000001
CsLa(WO4)2,0.7200000000000002
LaTaO4,0.7200000000000002
LiCdBO3,0.721
Ba(SbO3)2,0.722
Sr2CaWO6,0.722
LiInO2,0.722
Cs2Zr(SiO3)3,0.7220000000000001
Sr(BO2)2,0.7220000000000001
Li3VO4,0.7220000000000001
Zn4B6O13,0.7239999999999999
LaNbO4,0.7239999999999999
LiGaO2,0.7239999999999999
Sr(SbO3)2,0.724
SrBe3O4,0.724
Sr2ScSbO6,0.724
Ba3V2O8,0.724
Sr2NbInO6,0.724
Na2BeB2O5,0.7240000000000001
KLa(MoO4)2,0.7240000000000001
RbAlSiO4,0.7240000000000001
Ba3NbGa3(SiO7)2,0.7240000000000001
Sr2TaInO6,0.7240000000000001
Rb2Be2O3,0.7240000000000001
LaScO3,0.7240000000000002
LiYSiO4,0.7240000000000002
Na3BO3,0.7240000000000002
KSrVO4,0.7240000000000002
Li4Ca(BO3)2,0.7240000000000002
CaMgGeO4,0.7240000000000002
Sr2InSbO6,0.7240000000000002
CaMgSiO4,0.7240000000000002
Cs2Sn(GeO3)3,0.726
CsNa2BO3,0.726
KSbO3,0.726
BaBe2Si2O7,0.726
NaLi2AsO4,0.726
NaBiO3,0.726
NaSbO3,0.726
Li3AsO4,0.7260000000000001
La3BWO9,0.7260000000000001
Cs2PbO3,0.7260000000000001
NaYSiO4,0.7260000000000002
NaCaAsO4,0.7279999999999998
Li3CuO3,0.7279999999999999
Mg3V2O8,0.7279999999999999
Li2MgGeO4,0.7279999999999999
SrPbO3,0.7279999999999999
Ca2ScSbO6,0.7279999999999999
Sr3(BO3)2,0.728
Ba2YTaO6,0.728
Sc2Ti2O7,0.728
Na4B2O5,0.728
Na2WO4,0.728
Ba2InGaO5,0.728
Na3BeAl(SiO4)2,0.728
KLi6BiO6,0.728
Li2CaGeO4,0.728
CsAlSiO4,0.728
Sr2Sb2O7,0.728
BaMoO4,0.728
Ba2In2O5,0.728
Na2MoO4,0.728
Y2Be2GeO7,0.7280000000000002
Rb2CrO4,0.7280000000000002
NaLiV2O6,0.7280000000000002
Ca2Sb2O7,0.73
Li2SiO3,0.73
LaVO4,0.73
Mg3(AsO4)2,0.7300000000000001
NaIn(SiO3)2,0.7300000000000001
LaAsO4,0.7300000000000001
